Ticker,Date/Time,Close,% Today,% Week,% Month,% Top,Volume,% Volume,Value,BarSwing<7%,Short,Middle,Long,EPS,Market,Industry,Sector
KDH,17/09/2021 00:00:00,42.00,-1.64,3.58,3.96,-2.44,5393700.00,193.90,226535392.00,6.00,Buy,Buy,Buy,2.07,HSX,8630 Bat dong san,8000 Tai chinh
KSB,17/09/2021 00:00:00,35.20,2.92,4.14,16.56,-2.09,4041700.00,121.60,142267840.00,2.00,Buy,Buy,Buy,4.77,HSX,1770 Khai khoang,1000 Nguyen vat lieu
LCG,17/09/2021 00:00:00,18.65,-0.27,2.19,27.74,-4.11,8032300.00,109.37,149802384.00,2.00,Buy,Buy,Buy,3.04,HSX,2350 Xay dung va Vat lieu,2000 Cong nghiep
LHG,17/09/2021 00:00:00,49.20,3.58,0.41,-2.79,-5.31,297000.00,77.88,14612400.00,5.00,Buy,Buy,Buy,3.38,HSX,8630 Bat dong san,8000 Tai chinh
MBB,17/09/2021 00:00:00,27.85,0.18,-1.24,-5.59,-15.42,9716700.00,65.11,270610112.00,17.00,Sell,Sell,Buy,3.61,HSX,8350 Ngan hang,8000 Tai chinh
MSN,17/09/2021 00:00:00,146.00,-2.54,12.31,8.96,-2.67,2389800.00,142.33,348910784.00,2.00,Buy,Buy,Buy,1.28,HSX,3570 San xuat thuc pham,3000 Hang Tieu dung
MSR,17/09/2021 00:00:00,23.90,-0.83,3.02,16.02,-3.63,987800.00,84.39,23608420.00,2.00,Buy,Buy,Buy,0.04,UPCOM,1770 Khai khoang,1000 Nguyen vat lieu
MST,17/09/2021 00:00:00,16.70,-0.60,-0.60,9.15,-3.47,496100.00,69.49,8284870.50,7.00,Buy,Buy,Buy,0.96,HNX,2350 Xay dung va Vat lieu,2000 Cong nghiep
MWG,17/09/2021 00:00:00,123.00,-0.49,3.45,8.79,-1.60,919200.00,81.50,113061600.00,6.00,Buy,Buy,Buy,8.85,HSX,5370 Ban le,5000 Dich vu Tieu dung
NDN,17/09/2021 00:00:00,21.40,1.90,-0.47,-7.76,-11.93,2133800.00,117.32,45663320.00,2.00,Sell,Buy,Buy,5.94,HNX,8630 Bat dong san,8000 Tai chinh
NKG,17/09/2021 00:00:00,45.10,3.32,8.94,40.57,-2.59,8814500.00,101.44,397533952.00,1.00,Buy,Buy,Buy,3.14,HSX,1750 Kim loai,1000 Nguyen vat lieu
NLG,17/09/2021 00:00:00,43.65,1.51,-0.80,2.71,-5.42,1709000.00,69.46,74597856.00,5.00,Buy,Buy,Buy,3.82,HSX,8630 Bat dong san,8000 Tai chinh
NTL,17/09/2021 00:00:00,36.00,0.00,4.35,6.51,-4.64,1611700.00,78.20,58021200.00,2.00,Buy,Buy,Buy,4.89,HSX,8630 Bat dong san,8000 Tai chinh
NVB,17/09/2021 00:00:00,30.10,0.33,-13.26,4.15,-18.65,167000.00,14.71,5026700.00,2.00,Buy,Buy,Buy,0.03,HNX,8350 Ngan hang,8000 Tai chinh
PC1,17/09/2021 00:00:00,36.95,0.00,3.79,21.95,-1.99,2220500.00,83.27,82047480.00,2.00,Buy,Buy,Buy,2.58,HSX,2350 Xay dung va Vat lieu,2000 Cong nghiep
